UDI,Product ID,Type,Air temperature K,Process temperature K,Rotational speed rpm,Torque Nm,Tool wear min,Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power,wear_rate,RUL
1,M14860,1,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0,0,0,0,0,0,0.4988493226094761,0.6294432133840252,-1.6651873277767049,253
2,L47181,0,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,0,0,0,0,0,0.4988493226094761,0.512456198606482,-1.615191084043036,250
3,L47182,0,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0,0,0,0,0,0,0.3989535894637948,1.376888595287112,-1.5868665543265428,248
4,L47183,0,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0,0,0,0,0,0,0.39895358946385157,-0.33000924687598204,-1.550564629884395,246
5,L47184,0,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0,0,0,0,0,0,0.4988493226094761,-0.3578235866021089,-1.515198596575698,244
6,M14865,1,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,0,0,0,0,0,0.4988493226094761,-0.025474112802268585,-1.4840547376136488,242
7,L47186,0,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0,0,0,0,0,0,0.4988493226094761,0.5976946407724752,-1.454334534349644,239
8,L47187,0,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0,0,0,0,0,0,0.4988493226094761,0.13914557194717866,-1.4193206220722532,237
9,M14868,1,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0,0,0,0,0,0,0.3989535894637948,-1.2058715221389527,-1.4118170415967197,235
10,M14869,1,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,0,0,0,0,0,0.4988493226094761,-1.1007166391814125,-1.3821528773234937,232
11,H29424,2,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0,0,0,0,0,0,0.4988493226094761,-1.7049010021494355,-1.3491616883737605,229
12,H29425,2,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0,0,0,0,0,0,0.4988493226094761,0.3013713593798085,-1.1869847922571055,224
13,M14872,1,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0,0,0,0,0,0,0.4988493226094761,0.8295985378117923,-1.0693645296641334,219
14,M14873,1,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,0,0,0,0,0,0.5987450557551006,-0.7561524024330615,-1.1667938502510222,216
15,L47194,0,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0,0,0,0,0,0,0.5987450557551006,-1.970172295805526,-1.2039607189183537,213
16,L47195,0,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0,0,0,0,0,0,0.5987450557551006,1.4388552159961838,-1.026065436416081,211
17,M14876,1,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,0,0,0,0,0,0.5987450557551006,0.11041880414537963,-0.8776543270677657,209
18,M14877,1,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,0,0,0,0,0,0.4988493226094761,0.4247061264687476,-0.8830238702544175,206
19,H29432,2,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,0,0,0,0,0,0.3989535894637948,1.0998047919201723,-0.7668372617097593,203
20,M14879,1,-0.5524211743618752,-0.47555368847852436,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,0,0,0,0,0,0.39895358946385157,-0.6796261767315483,-0.8743970674140983,198
21,H29434,2,-0.5524211743618752,-0.47555368847852436,-0.9135461156482079,0.2721680913413756,-0.784764235745499,0,0,0,0,0,0,0.39895358946385157,-0.1230941058445826,-0.6753950251666831,195
22,L47201,0,-0.6024172079894964,-0.47555368847852436,-0.49519472815262355,0.4828330496792433,-0.706210829833155,0,0,0,0,0,0,0.4988493226094761,0.48985152886080413,-0.6456777176269648,190
23,M14882,1,-0.5524211743618752,-0.47555368847852436,0.23552569533966383,-0.9316316705893005,-0.6747894674682174,0,0,0,0,0,0,0.39895358946385157,-1.1214473975028612,-0.7004695907947566,188
24,L47203,0,-0.5024251407342256,-0.4081528028729957,1.222834969829243,-1.4332149047270821,-0.627657423920811,0,0,0,0,0,0,0.3989535894637948,-1.4507162001654865,-0.7575573770682485,185
25,M14884,1,-0.5024251407342256,-0.4081528028729957,0.12396532534084133,-0.26954180152742907,-0.5962360615558734,0,0,0,0,0,0,0.3989535894637948,-0.17089356374429804,-0.6129494925449283,183
26,L47205,0,-0.5024251407342256,-0.3407519172674287,1.7973708753231787,-1.6739748571132171,-0.549104018008467,0,0,0,0,0,0,0.4988493226094761,-1.6292087160869768,-0.7447477942066838,180
27,L47206,0,-0.452429107106576,-0.3407519172674287,-0.1493575811562738,-0.09900350192058306,-0.5176826556435293,0,0,0,0,0,0,0.3989535894637948,-0.09802686140004922,-0.5012536112256821,178
28,H29441,2,-0.452429107106576,-0.4081528028729957,1.5184699503261225,-1.5435632162373938,-0.48626129327859174,0,0,0,0,0,0,0.2990578563181135,-1.5125258440013234,-0.6675078209426443,176
29,L47208,0,-0.452429107106576,-0.4081528028729957,-0.556552931651976,0.42264306158271003,-0.40770788736624775,0,0,0,0,0,0,0.2990578563181135,0.35679400668594363,-0.32806286251970224,171
30,L47209,0,-0.5024251407342256,-0.4081528028729957,0.8602637673330699,-0.991821658685834,-0.37628652500131016,0,0,0,0,0,0,0.3989535894637948,-0.8837647893176227,-0.5009511122089765,169
31,M14890,1,-0.452429107106576,-0.3407519172674287,-1.1143547816460884,0.8239096488929353,-0.34486516263637257,0,0,0,0,0,0,0.3989535894637948,0.4486254775277593,-0.1581061325507891,167
32,L47211,0,-0.5024251407342256,-0.4081528028729957,1.445955709826888,-1.4532782340925934,-0.29773311908896616,0,0,0,0,0,0,0.3989535894637948,-1.385139111372036,-0.5036876439143538,164
33,L47212,0,-0.5024251407342256,-0.4081528028729957,-0.6681133016507984,0.8339413135756903,-0.26631175672402857,0,0,0,0,0,0,0.3989535894637948,0.8408616284663215,-0.16039082387547565,162
34,L47213,0,-0.5524211743618752,-0.47555368847852436,0.7040792493347183,-0.7510617062996991,-0.23489039435909095,0,0,0,0,0,0,0.39895358946385157,-0.574402616391968,-0.35453504760422344,160
35,M14894,1,-0.6024172079894964,-0.61035545968962,0.11280928834095907,-0.530365083279075,-0.20346903199415334,0,0,0,0,0,0,0.2990578563181703,-0.5758938966876894,-0.23531827457688523,158
36,M14895,1,-0.6024172079894964,-0.5429545740840913,-0.4840386911527413,0.8640363076239577,-0.15633698844674693,0,0,0,0,0,0,0.3989535894637948,1.0399769811089121,-0.0814679303142222,155
37,M14896,1,-0.5524211743618752,-0.5429545740840913,0.23552569533966383,-0.32973178962396227,-0.10920494489934053,0,0,0,0,0,0,0.2990578563181703,-0.19077076031753634,-0.1661643826201389,152
